Seite;Bereich;Nr;Titel;Text
Manuelle Therapie;Ablauf;1;Untersuchung;Ausführliche Befundaufnahme mit manueller Gelenkuntersuchung.
Manuelle Therapie;Ablauf;2;Diagnose;Auf Basis des Befunds erstellen wir ein klares Bild der Funktionsstörungen und Behandlungsprioritäten.
Manuelle Therapie;Ablauf;3;Behandlung;Gezielte Mobilisation, Manipulation und Weichteiltechniken – schonend und präzise ausgeführt.
Manuelle Therapie;Ablauf;4;Stabilisierung;Ergänzende Übungen sichern den Therapieerfolg und verhindern das Wiederauftreten der Beschwerden.
Trainingstherapie;Meta-Title;;;Trainingstherapie Reinheim – Physiotherapie Fortis Salutis
Trainingstherapie;Meta-Description;;;Trainingstherapie in Reinheim: Gerätegestütztes therapeutisches Training zur Rehabilitation und Prävention. Fortis Salutis Reinheim – individuell, effektiv, nachhaltig.
Trainingstherapie;Hero-Subtitle;;;Aktiv zurück ins Leben – therapeutisch geführtes Training
Trainingstherapie;Intro;1;;Die Trainingstherapie verbindet das Beste aus Physiotherapie und gezieltem körperlichem Training. Unter therapeutischer Anleitung stärken Sie Ihren Körper systematisch – mit dem Ziel, Beschwerden dauerhaft zu überwinden und die körperliche Leistungsfähigkeit langfristig zu steigern.
Trainingstherapie;Intro;2;;Anders als im normalen Fitnessstudio wird jede Trainingseinheit bei uns individuell geplant und medizinisch begleitet. Die Übungsauswahl, Intensität und Progression richten sich ausschließlich nach Ihrem Befund und Ihrem persönlichen Therapieziel. So wird das Training zur Medizin.
Trainingstherapie;Intro;3;;Die Trainingstherapie eignet sich besonders in der Rehabilitation nach Verletzungen oder Operationen, bei chronischen Schmerzen am Bewegungsapparat sowie als gezielte Prävention. In unserer Praxis in Reinheim stehen Ihnen modernste Geräte und unser erfahrenes Therapeutenteam zur Verfügung.
Trainingstherapie;Indikation;1;;Rehabilitation nach Verletzungen und Operationen
Trainingstherapie;Indikation;2;;Chronische Rückenschmerzen & Bandscheibenvorfälle
Trainingstherapie;Indikation;3;;Muskelschwäche & funktionelle Einschränkungen
Trainingstherapie;Indikation;4;;Haltungsschäden & muskuläre Dysbalancen
Trainingstherapie;Indikation;5;;Osteoporose-Prophylaxe & Sturzprophylaxe
Trainingstherapie;Indikation;6;;Sport-Wiedereinstieg nach Verletzungspause
Trainingstherapie;Indikation;7;;Prävention bei Büro- und Bildschirmarbeitsplätzen
Trainingstherapie;Indikation;8;;Allgemeine Kräftigung im Alter
Trainingstherapie;Benefit;1;Medizinisch begleitet;Jede Einheit wird von unseren Therapeuten überwacht und angepasst. Kein Risiko durch falsche Belastung.
Trainingstherapie;Benefit;2;Individuelle Progression;Ihr Trainingsplan entwickelt sich mit Ihnen – immer genau auf Ihren aktuellen Stand abgestimmt.
Trainingstherapie;Benefit;3;Dauerhafter Erfolg;Durch gezielten Aufbau der stabilisierenden Muskulatur werden Schmerzen langfristig eliminiert.
Trainingstherapie;Benefit;4;Ganzheitlicher Ansatz;Kraft, Ausdauer, Koordination und Beweglichkeit werden in Einklang gebracht – für optimale Alltagsfunktion.
Trainingstherapie;Ablauf;1;Leistungstest;Zu Beginn analysieren wir Ihre aktuelle körperliche Leistungsfähigkeit und Einschränkungen.
Trainingstherapie;Ablauf;2;Trainingsplan;Wir erstellen Ihren persönlichen, medizinisch fundierten Trainingsplan mit klaren Zielen.
Trainingstherapie;Ablauf;3;Training;Geführtes Training unter Aufsicht – mit korrekter Ausführung und optimaler Dosierung.
Trainingstherapie;Ablauf;4;Erfolgskontrolle;Regelmäßige Tests zeigen Ihren Fortschritt und ermöglichen die gezielte Weiterentwicklung.
Neurologische Therapie;Meta-Title;;;Neurologische Therapie Reinheim – Physiotherapie Fortis Salutis
Neurologische Therapie;Meta-Description;;;Neurologische Therapie in Reinheim: Spezialisierte Behandlung bei Schlaganfall, Parkinson, MS und weiteren Erkrankungen des Nervensystems. Fortis Salutis Reinheim.
Neurologische Therapie;Hero-Subtitle;;;Spezialisierte Rehabilitation bei Erkrankungen des Nervensystems
Neurologische Therapie;Intro;1;;Die Neurologische Therapie widmet sich der Behandlung und Rehabilitation von Patienten mit Erkrankungen oder Verletzungen des zentralen und peripheren Nervensystems. Sie erfordert spezielles Fachwissen und einfühlsames Vorgehen – beides bringt unser Team bei Fortis Salutis mit.
Neurologische Therapie;Intro;2;;Erkrankungen wie Schlaganfall, Parkinson oder Multiple Sklerose hinterlassen oft tiefe Spuren in der Bewegungsfähigkeit, Koordination und dem Alltag der Betroffenen. Durch neurophysiologische Therapiekonzepte wie Bobath, PNF und funktionelles Training unterstützen wir das Nervensystem dabei, neue Wege zu bahnen und verloren geglaubte Funktionen zurückzugewinnen.
Neurologische Therapie;Intro;3;;In unserer Praxis in Reinheim arbeiten wir mit jedem Patienten nach einem individuellen, zielgerichteten Therapieplan. Wir begleiten Sie mit Geduld, Fachwissen und echter Fürsorge – damit Sie so viel Lebensqualität wie möglich zurückgewinnen.
Neurologische Therapie;Indikation;1;;Schlaganfall (Apoplex) & Hemiplegie
Neurologische Therapie;Indikation;2;;Morbus Parkinson & Parkinson-Syndrome
Neurologische Therapie;Indikation;3;;Multiple Sklerose (MS)
Neurologische Therapie;Indikation;4;;Schädel-Hirn-Trauma
Neurologische Therapie;Indikation;5;;Periphere Lähmungen & Nervenverletzungen
Neurologische Therapie;Indikation;6;;Polyneuropathien
Neurologische Therapie;Indikation;7;;Gleichgewichts- & Koordinationsstörungen
Neurologische Therapie;Indikation;8;;Spinale Muskelatrophie & neuromuskuläre Erkrankungen
Neurologische Therapie;Benefit;1;Neuroplastizität nutzen;Das Gehirn kann lernen. Wir nutzen die Plastizität des Nervensystems, um neue neuronale Verbindungen aufzubauen.
Neurologische Therapie;Benefit;2;Alltagsfunktion verbessern;Im Mittelpunkt steht die Wiederherstellung von Alltagsfähigkeiten – Gehen, Greifen, Gleichgewicht, Sprechen.
Neurologische Therapie;Benefit;3;Selbstständigkeit stärken;Wir fördern Ihre Eigenständigkeit und helfen Ihnen, so unabhängig wie möglich im Alltag zu sein.
Neurologische Therapie;Benefit;4;Einfühlsame Begleitung;Neurologische Erkrankungen sind belastend. Wir behandeln Sie mit Geduld, Respekt und echter menschlicher Wärme.
Neurologische Therapie;Ablauf;1;Neurologische Befundung;Umfassende Analyse der neurologischen Ausfälle, Tonus, Koordination und Alltagsfunktionen.
Neurologische Therapie;Ablauf;2;Zieldefinition;Gemeinsam legen wir realistische, motivierende Therapieziele fest – kurz-, mittel- und langfristig.
Neurologische Therapie;Ablauf;3;Gezielte Therapie;Bobath, PNF, Vojta, funktionelles Training – wir wählen die optimale Methodik für Ihre Situation.
Neurologische Therapie;Ablauf;4;Fortlaufende Anpassung;Die Therapie entwickelt sich mit Ihrem Fortschritt – immer am Puls Ihrer aktuellen Fähigkeiten.
Hausbesuche;Meta-Title;;;Hausbesuche Physiotherapie Reinheim & Umgebung – Fortis Salutis
Hausbesuche;Meta-Description;;;Physiotherapie Hausbesuche in Reinheim, Groß-Bieberau, Dieburg, Ober-Ramstadt und Umgebung. Wir kommen direkt zu Ihnen nach Hause – individuell, ganzheitlich, auf höchstem Niveau. Jetzt Termin vereinbaren.
Hausbesuche;Hero-Subtitle;;;Physiotherapie direkt bei Ihnen zuhause
Hausbesuche;Intro;1;;Nicht jeder Patient kann die Praxis aufsuchen – sei es aufgrund von Bettlägerigkeit, frischer Operation, eingeschränkter Mobilität oder hohem Alter. Genau für diese Menschen bieten wir unseren Hausbesuchsservice an.
Hausbesuche;Intro;2;;Unser Therapeutenteam kommt zu Ihnen nach Hause – die Behandlung ist dabei genauso hochwertig und individuell wie in unserer Praxis in Reinheim.
Hausbesuche;Intro;3;;Wir decken Reinheim und das gesamte Umland im Umkreis von etwa 10 km ab. Sprechen Sie uns an – wir finden gemeinsam eine Lösung für Sie.
Hausbesuche;Zielgruppe;1;;Patienten mit eingeschränkter Mobilität & Bettlägerige
Hausbesuche;Zielgruppe;2;;Frisch operierte Patienten ohne Transportmöglichkeit
Hausbesuche;Zielgruppe;3;;Ältere Patienten & Senioren
Hausbesuche;Zielgruppe;4;;Schwere chronische Erkrankungen
Hausbesuche;Zielgruppe;5;;Patienten in der häuslichen Rehabilitation
Hausbesuche;Benefit;1;Gewohnte Umgebung;Therapie im eigenen Zuhause – ohne Stress, ohne Fahrtweg. Sie können sich voll auf die Behandlung konzentrieren.
Hausbesuche;Benefit;2;Kein Transportaufwand;Wir kommen zu Ihnen. Keine Organisation von Krankentransport oder Fahrdienst notwendig.
Hausbesuche;Benefit;3;Alltagsgerechte Therapie;Wir können die Therapie auf Ihre tatsächliche Wohnsituation anpassen und alltagsrelevante Übungen einbauen.
Hausbesuche;Benefit;4;Gleiche Qualität;Ein Hausbesuch von Fortis Salutis bedeutet dieselbe Expertise und Sorgfalt wie in der Praxis – kein Kompromiss.
